MUNICIPIO,FECHA,MES,TOTAL DE MUJERES VICTIMAS DE VIOLENCIA DE GENERO ATENDIDAS,TOTAL DE MUJERES CANALIZADAS PARA OTORGAMIENTO DE MEDIDAS DE PROTECCION,MEDIDA DE PROTECCION ACEPTADA,MEDIDA DE PROTECCION RECHAZADA,TOTAL DE MUJERES CANALIZADAS PARA OTORGAMIENTO DE ORDENES DE PROTECCION,ORDEN DE PROTECCION ACEPTADA,ORDEN DE PROTECCION RECHAZADA
Acatic,2021,Enero,0,0,0,0,0,0,0
Acatic,2021,Febrero,0,0,0,0,0,0,0
Acatic,2021,Marzo,0,0,0,0,0,0,0
Acatic,2021,Abril,3,3,3,0,0,0,0
Acatic,2021,Mayo,0,0,0,0,0,0,0
Acatic,2021,Junio,1,1,1,0,0,0,0
Acatic,2021,Julio,3,3,3,0,0,0,0
Acatic,2021,Agosto,2,0,0,0,0,0,0
Acatic,2019,Enero,2,2,2,0,0,0,0
Acatic,2019,Febrero,1,1,1,0,0,0,0
Acatic,2019,Marzo,2,2,2,0,0,0,0
Acatic,2019,Abril,3,3,3,0,0,0,0
Acatic,2019,Mayo,2,2,2,0,0,0,0
Acatic,2019,Junio,0,0,0,0,0,0,0
Acatic,2019,Julio,4,4,4,0,0,0,0
Acatic,2019,Agosto,1,1,1,0,0,0,0
Acatic,2019,Septiembre,1,1,1,0,0,0,0
Acatic,2019,Octubre,2,2,2,0,0,0,0
Acatic,2019,Noviembre,0,0,0,0,0,0,0
Acatic,2019,Diciembre,2,2,2,0,0,0,0
Acatic,2020,Enero,0,0,0,0,0,0,0
Acatic,2020,Febrero,0,0,0,0,0,0,0
Acatic,2020,Marzo,0,0,0,0,0,0,0
Acatic,2020,Abril,2,1,1,0,0,0,0
Acatic,2020,Mayo,0,0,0,0,0,0,0
Acatic,2020,Junio,0,0,0,0,0,0,0
Acatic,2020,Julio,1,1,1,0,0,0,0
Acatic,2020,Agosto,0,0,0,0,0,0,0
Acatic,2020,Septiembre,0,0,0,0,0,0,0
Acatic,2020,Octubre,0,0,0,0,0,0,0
Acatic,2020,Noviembre,0,0,0,0,0,0,0
Acatic,2020,Diciembre,0,0,0,0,0,0,0
Acatlán de Juárez,2021,Enero,2,2,2,0,0,0,0
Acatlán de Juárez,2021,Febrero,2,2,1,0,0,0,0
Acatlán de Juárez,2021,Marzo,3,3,3,0,0,0,0
Acatlán de Juárez,2021,Abril,9,11,11,0,0,0,0
Acatlán de Juárez,2021,Mayo,3,3,2,1,0,0,0
Acatlán de Juárez,2021,Junio,3,4,4,0,0,0,0
Acatlán de Juárez,2021,Julio,5,5,5,0,0,0,0
Acatlán de Juárez,2021,Agosto,5,5,5,0,0,0,0
Acatlán de Juárez,2019,Enero,9,8,8,0,0,0,0
Acatlán de Juárez,2019,Febrero,9,5,5,0,0,0,0
Acatlán de Juárez,2019,Marzo,4,3,3,0,0,0,0
Acatlán de Juárez,2019,Abril,1,1,0,1,0,0,0
Acatlán de Juárez,2019,Mayo,0,0,0,0,0,0,0
Acatlán de Juárez,2019,Junio,0,0,0,0,0,0,0
Acatlán de Juárez,2019,Julio,0,0,0,0,0,0,0
Acatlán de Juárez,2019,Agosto,3,0,0,0,0,0,0
Acatlán de Juárez,2019,Septiembre,1,0,0,0,0,0,0
Acatlán de Juárez,2019,Octubre,2,2,2,0,0,0,0
Acatlán de Juárez,2019,Noviembre,0,0,0,0,0,0,0
Acatlán de Juárez,2019,Diciembre,0,0,0,0,0,0,0
Acatlán de Juárez,2020,Enero,3,0,0,0,0,0,0
Acatlán de Juárez,2020,Febrero,2,0,0,0,1,1,0
Acatlán de Juárez,2020,Marzo,3,0,0,0,0,0,0
Acatlán de Juárez,2020,Abril,3,0,0,0,0,0,0
Acatlán de Juárez,2020,Mayo,2,1,1,0,0,0,0
Acatlán de Juárez,2020,Junio,3,0,0,0,0,0,0
Acatlán de Juárez,2020,Julio,1,0,0,0,0,0,0
Acatlán de Juárez,2020,Agosto,3,0,0,0,0,0,0
Acatlán de Juárez,2020,Septiembre,2,0,0,0,0,0,0
Acatlán de Juárez,2020,Octubre,2,0,0,0,0,0,0
Acatlán de Juárez,2020,Noviembre,1,0,0,0,0,0,0
Acatlán de Juárez,2020,Diciembre,3,2,2,0,0,0,0
Ahualulco de Mercado,2021,Enero,0,0,0,0,0,0,0
Ahualulco de Mercado,2021,Febrero,0,0,0,0,0,0,0
Ahualulco de Mercado,2021,Marzo,0,0,0,0,0,0,0
Ahualulco de Mercado,2021,Abril,0,0,0,0,0,0,0
Ahualulco de Mercado,2021,Mayo,1,0,0,0,0,0,0
Ahualulco de Mercado,2021,Junio,2,1,1,0,1,1,0
Ahualulco de Mercado,2021,Julio,2,1,1,0,0,0,0
Ahualulco de Mercado,2021,Agosto,2,0,0,0,0,0,0
Ahualulco de Mercado,2019,Enero,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Febrero,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Marzo,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Abril,1,1,1,0,0,0,0
Ahualulco de Mercado,2019,Mayo,1,1,1,0,0,0,0
Ahualulco de Mercado,2019,Junio,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Julio,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Agosto,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Septiembre,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Octubre,1,0,0,0,0,0,0
Ahualulco de Mercado,2019,Noviembre,0,0,0,0,0,0,0
Ahualulco de Mercado,2019,Diciembre,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Enero,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Febrero,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Marzo,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Abril,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Mayo,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Junio,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Julio,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Agosto,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Septiembre,1,0,0,0,0,0,0
Ahualulco de Mercado,2020,Octubre,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Noviembre,0,0,0,0,0,0,0
Ahualulco de Mercado,2020,Diciembre,0,0,0,0,0,0,0
Amacueca,2021,Enero,0,0,0,0,0,0,0
Amacueca,2021,Febrero,0,0,0,0,0,0,0
Amacueca,2021,Marzo,0,0,0,0,0,0,0
Amacueca,2021,Abril,0,0,0,0,0,0,0
Amacueca,2021,Mayo,2,1,1,0,0,0,0
Amacueca,2021,Junio,0,0,0,0,0,0,0
Amacueca,2021,Julio,0,0,0,0,0,0,0
Amacueca,2021,Agosto,1,0,0,0,0,0,0
Amacueca,2019,Enero,0,0,0,0,0,0,0
Amacueca,2019,Febrero,0,0,0,0,0,0,0
Amacueca,2019,Marzo,0,0,0,0,0,0,0
Amacueca,2019,Abril,0,0,0,0,0,0,0
Amacueca,2019,Mayo,0,0,0,0,0,0,0
Amacueca,2019,Junio,0,0,0,0,0,0,0
Amacueca,2019,Julio,0,0,0,0,0,0,0
Amacueca,2019,Agosto,0,0,0,0,0,0,0
Amacueca,2019,Septiembre,0,0,0,0,0,0,0
Amacueca,2019,Octubre,0,0,0,0,0,0,0
Amacueca,2019,Noviembre,0,0,0,0,0,0,0
Amacueca,2019,Diciembre,0,0,0,0,0,0,0
Amacueca,2020,Enero,0,0,0,0,0,0,0
Amacueca,2020,Febrero,0,0,0,0,0,0,0
Amacueca,2020,Marzo,0,0,0,0,0,0,0
Amacueca,2020,Abril,0,0,0,0,0,0,0
Amacueca,2020,Mayo,0,0,0,0,0,0,0
Amacueca,2020,Junio,0,0,0,0,0,0,0
Amacueca,2020,Julio,0,0,0,0,0,0,0
Amacueca,2020,Agosto,0,0,0,0,0,0,0
Amacueca,2020,Septiembre,0,0,0,0,0,0,0
Amacueca,2020,Octubre,0,0,0,0,0,0,0
Amacueca,2020,Noviembre,0,0,0,0,0,0,0
Amacueca,2020,Diciembre,0,0,0,0,0,0,0
Amatitán,2021,Enero,0,0,0,0,0,0,0
Amatitán,2021,Febrero,0,0,0,0,0,0,0
Amatitán,2021,Marzo,1,0,0,0,0,0,0
Amatitán,2021,Abril,0,0,0,0,0,0,0
